,mean,merged_rivers
Congo,0.015986759907050507,22.0
Cape-Town,0.041619476765338274,34.0
Rio-de-la-Plata,0.09758758507930627,51.0
Porto-Alegre,0.07984647681423368,49.0
Santos,0.039030983984296885,55.0
Paraiba,0.024694697493602275,32.0
Itajai,0.06967329993927565,91.0
Rio-de-Janeiro,0.27018124548281897,50.0
Salvador,0.06332056122976248,57.0
Recife,0.10726527945163405,45.0
